DATE/HEURE;NO;NO2;PM10;PM2.5;CO2;TEMP;HUMI
2018-06-16T10:00:00-07:00;16;52;170;81;631;24.1;38.6
2018-06-16T12:00:00-07:00;35;56;105;49;667;24.4;38.7
2018-06-16T18:00:00-07:00;8;44;75;35;473;23.4;41.0
2018-06-17T03:00:00-07:00;5;29;96;48;464;22.6;39.8
2018-06-17T09:00:00-07:00;8;36;126;60;545;23.3;39.2
2018-06-17T20:00:00-07:00;4;20;36;21;423;23.2;44.5
2018-06-17T22:00:00-07:00;4;15;22;14;425;23.2;47.1
2018-06-18T00:00:00-07:00;6;22;113;52;481;22.9;49.3
2018-06-18T04:00:00-07:00;51;33;174;83;615;23.8;53.3
2018-06-18T06:00:00-07:00;32;34;70;31;575;24.1;50.5
2018-06-18T09:00:00-07:00;42;38;113;45;614;24.3;49.4
2018-06-18T13:00:00-07:00;36;41;174;75;769;25.7;45.5
2018-06-18T16:00:00-07:00;14;40;122;63;501;24.4;46.9
2018-06-18T22:00:00-07:00;997;169;67;44;489;23.4;50.9
2018-06-19T01:00:00-07:00;40;28;183;85;567;23.8;52.5
2018-06-19T06:00:00-07:00;80;33;188;75;605;24.3;51.1
2018-06-19T15:00:00-07:00;37;36;171;75;552;25.1;50.9
2018-06-19T17:00:00-07:00;24;38;150;64;503;24.5;51.4
2018-06-19T20:00:00-07:00;23;34;50;24;433;24.0;51.4
2018-06-20T00:00:00-07:00;30;25;91;44;504;23.6;55.0
2018-06-20T01:00:00-07:00;67;31;139;68;587;23.9;54.3
2018-06-20T02:00:00-07:00;74;33;164;75;705;24.3;53.0
2018-06-20T03:00:00-07:00;85;33;149;62;785;24.9;51.9
2018-06-20T04:00:00-07:00;76;41;178;66;597;24.5;51.6
2018-06-20T07:00:00-07:00;57;50;130;61;633;25.6;48.2
2018-06-20T12:00:00-07:00;46;64;117;;891;27.0;43.6
2018-06-20T14:00:00-07:00;46;62;109;49;664;26.5;43.0
2018-06-20T16:00:00-07:00;28;56;113;55;518;25.3;47.0
2018-06-20T17:00:00-07:00;33;61;168;76;516;25.4;47.6
2018-06-20T18:00:00-07:00;23;45;200;92;489;25.4;50.4
2018-06-20T22:00:00-07:00;7;28;10;;434;24.4;49.9
2018-06-21T01:00:00-07:00;38;24;126;57;567;24.3;50.1
2018-06-21T02:00:00-07:00;69;25;156;73;734;24.8;50.2
2018-06-21T08:00:00-07:00;37;49;96;36;574;24.9;36.2
2018-06-21T09:00:00-07:00;41;51;135;58;616;25.1;35.7
2018-06-21T14:00:00-07:00;19;47;150;68;634;25.2;31.6
2018-06-21T15:00:00-07:00;11;38;177;82;563;24.8;32.8
2018-06-22T08:00:00-07:00;32;56;92;38;591;24.2;31.9
2018-06-22T09:00:00-07:00;34;53;147;64;625;24.5;32.5
2018-06-22T17:00:00-07:00;10;45;119;53;517;24.1;32.1
2018-06-22T18:00:00-07:00;8;38;150;70;494;24.0;32.7
2018-06-22T20:00:00-07:00;4;34;22;11;434;23.6;29.9
